transaction_id, is_refund, corr_transaction_identifier, date_time, transaction_date_type, transaction_date_other, amount, currency, payment_method_type, payment_method_other, initiated_at_physical_premises_of_merchant, payer_ms, payer_ms_source, psp_role_type, psp_role_other, reported_payee_id
AT-1-1,true,BE-1,2025-02-22T12:59:25Z,CESOP701,CESOP701,1111.00,USD,Card payment,TODO,true,BG,IBAN,Three party card scheme,other,ba83d3e0-56d2-4d3c-8ab1-200855ebca6f
CY-1-2,true,CZ-1,2025-01-27T22:45:11Z,CESOP701,CESOP701,1113441.00,EUR,Bank transfer,TODO,true,DE,OBAN,Four party card scheme,other,c22a7a57-344a-4985-b99f-0421dd80ccbb
DK-1-3,true,EE-1,2025-02-28T16:32:40Z,CESOP701,CESOP701,2333.83,JPY,Direct debit,TODO,true,ES,BIC,E-money provider,other,498fd651-f4b9-4336-a5b8-36e6a40dfe19
FI-1-4,true,FR-1,2025-02-22T17:36:45Z,CESOP701,CESOP701,1111.00,GBP,E-money,TODO,true,GR,Other,Acquirer,other,ca11869c-8dda-4dfb-9b90-648f2e1f4f36
HR-1-5,true,HU-1,2025-03-27T04:29:45Z,CESOP701,CESOP701,1113441.00,AUD,Money Remittance,TODO,true,IE,IBAN,e-Wallet provider,other,5f3f76c5-a36e-4fbe-ac0b-115fb0842df7
IT-1-6,true,LT-1,2025-01-24T04:05:06Z,CESOP701,CESOP701,2333.83,CAD,Marketplace,TODO,true,LU,OBAN,Money Transfer operator,other,6b654f54-c0c4-42b3-8eeb-948d3f85eb74
LV-1-7,true,MT-1,2025-02-27T07:47:42Z,CESOP701,CESOP701,1111.00,CHF,Intermediary,TODO,true,NL,BIC,Issuer of payment instruments,other,9e96cb96-54b7-463a-b870-b1f29755c8e6
PL-1-8,true,PT-1,2025-03-15T08:56:56Z,CESOP701,CESOP701,1113441.00,CNY,Other,TODO,true,RO,Other,Payment Processor,other,f7585a15-0682-41fa-bc69-4a7d6163ed9a
SE-1-9,true,SI-1,2025-01-25T05:02:43Z,CESOP701,CESOP701,2333.83,SEK,Card payment,TODO,true,SK,IBAN,E-payment,other,751a9379-ba66-4c7b-85d3-89a83c001c04
AT-1-10,true,BE-1,2025-03-17T12:23:42Z,CESOP701,CESOP701,1111.00,NZD,Bank transfer,TODO,true,BG,OBAN,Payment collector,other,a6d181a0-9e50-4923-b70d-e9232d4e736c
CY-1-11,true,CZ-1,2025-01-28T20:50:32Z,CESOP701,CESOP701,1113441.00,MXN,Direct debit,TODO,true,DE,BIC,Other,other,4a3682a8-4dce-4a70-916d-0e1285ed7fcb
DK-1-12,true,EE-1,2025-01-15T05:13:03Z,CESOP701,CESOP701,2333.83,SGD,E-money,TODO,true,ES,Other,Three party card scheme,other,33bd1af7-43f0-48fa-8f6d-2cba27df3e96
FI-1-13,true,FR-1,2025-01-20T06:52:13Z,CESOP701,CESOP701,1111.00,HKD,Money Remittance,TODO,true,GR,IBAN,Four party card scheme,other,c34ef967-6d43-4b0e-8ee2-07f555375225
HR-1-14,true,HU-1,2025-01-20T12:28:14Z,CESOP701,CESOP701,1113441.00,NOK,Marketplace,TODO,true,IE,OBAN,E-money provider,other,9b53e3af-ea7e-4764-bffc-16dd3c9720b0
IT-1-15,true,LT-1,2025-01-01T17:14:22Z,CESOP701,CESOP701,2333.83,ILS,Intermediary,TODO,true,LU,BIC,Acquirer,other,d1da622e-09cc-45e8-98bc-dcc66df676e0
LV-1-16,true,MT-1,2025-02-02T03:09:10Z,CESOP701,CESOP701,1111.00,KRW,Other,TODO,true,NL,Other,e-Wallet provider,other,c87b3a71-b4bd-46cd-92a3-8d33f387d22f
PL-1-17,true,PT-1,2025-02-21T10:21:39Z,CESOP701,CESOP701,1113441.00,TRY,Card payment,TODO,true,RO,IBAN,Money Transfer operator,other,f9ba8a83-df82-4686-8981-25ce043553c6
SE-1-18,true,SI-1,2025-02-21T01:00:09Z,CESOP701,CESOP701,2333.83,RUB,Bank transfer,TODO,true,SK,OBAN,Issuer of payment instruments,other,3f85128c-bd31-4156-9e79-a3abe8469560
AT-1-19,true,BE-1,2025-03-11T04:42:43Z,CESOP701,CESOP701,1111.00,INR,Direct debit,TODO,true,BG,BIC,Payment Processor,other,0ecbad16-6c7c-4486-b402-11aacb12054d
CY-1-20,true,CZ-1,2025-02-19T22:10:12Z,CESOP701,CESOP701,1113441.00,BRL,E-money,TODO,true,DE,Other,E-payment,other,fa53feb9-3ad7-408d-871d-019aa8151c9f
DK-1-21,true,EE-1,2025-03-19T06:31:09Z,CESOP701,CESOP701,2333.83,ZAR,Money Remittance,TODO,true,ES,IBAN,Payment collector,other,2b0d22fa-0903-4780-9bb3-1463511c8a76
FI-1-22,true,FR-1,2025-03-25T07:57:07Z,CESOP701,CESOP701,1111.00,AED,Marketplace,TODO,true,GR,OBAN,Other,other,1ae0ae46-3268-4968-8e3b-4342699cebb8
HR-1-23,true,HU-1,2025-03-08T19:27:51Z,CESOP701,CESOP701,1113441.00,PLN,Intermediary,TODO,true,IE,BIC,Three party card scheme,other,e3211a24-a45c-46fd-bcae-fd98169eac13
IT-1-24,true,LT-1,2025-01-17T11:55:49Z,CESOP701,CESOP701,2333.83,THB,Other,TODO,true,LU,Other,Four party card scheme,other,cb29469c-bc7c-4eca-907d-10317c7b9667
LV-1-25,true,MT-1,2025-03-02T17:35:20Z,CESOP701,CESOP701,1111.00,CZK,Card payment,TODO,true,NL,IBAN,E-money provider,other,89126b0f-538e-4da7-bbc4-d1dd35fd2bde
